Hang khai thac,Container,Kich co,Kich co ISO,Ghi chu,Ghi chu noi bo,Tinh trang vo,Nam san xuat,So ngay luu bai,Lich trinh tau,Ten tau,Chuyen nhap,Chuyen xuat,Huong,Trang thai,F/E,Phuong an,Vi tri tren bai,Cang xep,Cang do,Cang dich,Ngay nhap bai,Ngay ra bai,Loai Hang,Hang Hoa,Trong Luong,Nhom Trong Luong,VGM,Huy,Nhiet do,CLASS,UNNO,Chu hang,So Booking,So Van Don,So niem chi,So niem chi 1,So niem chi 2,Thanh Ly Hai Quan,So to khai,Hang noi/ ngoai,Cang chuyen,Cang giao nhan,So lenh,Thong gio,DVT thong gio
VLC,BISU2834587,20DC,22G0,"DA VS,BISU,Mop xung quanh+da,Cong thanh,Cong tay,Rach ron, Ho nep san,Cu ri set,troc van san",,,,12,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,A-39-06-4,VNCMT,VNTTS,VNTTS,9/2/2024 5:58,,Empty,EMPTY,2.3,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2832408,20DC,22G0,"CHUA VSINH,Muc gi set,mxq va da,Cong thanh cong tay,Rach ron,troc xuoc san",,,,12,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,K-03-03-3,VNDAN,VNTTS,VNTTS,9/2/2024 6:00,,Empty,EMPTY,2.3,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2837550,20DC,22G0,"DA VS,BISU,Mop xung quanh+da,Cong thanh,Cong tay,Rach ron, Ho nep san,Cu ri set,troc van aan",,,,12,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,A-39-06-5,VNCMT,VNTTS,VNTTS,9/2/2024 6:00,,Empty,EMPTY,2.3,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2841863,20DC,22G0,"CHUA VSINH,Muc gi set,mxq va da,phinh hong,Cong thanh cong tay,Rach ron,troc xuoc san",,,,12,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,K-03-03-1,VNDAN,VNTTS,VNTTS,9/2/2024 6:01,,Empty,EMPTY,2.3,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2836764,20DC,22G0,"DA VS,BISUMop xung quanh+da,Cong thanh,Cong tay,Cu ri set,Rach ron, Ho nep san,troc van san",,,,12,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,A-39-05-1,VNCMT,VNTTS,VNTTS,9/2/2024 6:11,,Empty,EMPTY,2.3,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2834967,20DC,22G0,"DA VS,BISU,Mop xung quanh+da,Cong thanh,Cong tay,Rach ron, Ho nep san,Cu ri set,troc van san",,,,12,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,A-39-05-2,VNCMT,VNTTS,VNTTS,9/2/2024 6:11,,Empty,EMPTY,2.3,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2840548,20DC,22G0,"DA VS,BISU,Mop xung quanh+da,Cong thanh,Cong tay,Rach ron, Ho nep san,Cu ri set,troc van san",,,,12,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,A-39-05-3,VNCMT,VNTTS,VNTTS,9/2/2024 6:13,,Empty,EMPTY,2.3,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2837945,20DC,22G0,"DA VS,BISUMop xung quanh+da,Cong thanh,Cong tay,Rach ron, Ho nep san,Cu ri set,troc van san",,,,12,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,A-39-05-4,VNCMT,VNTTS,VNTTS,9/2/2024 6:14,,Empty,EMPTY,2.3,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,VNLU3093972,20DC,22G0,"CHUA VSINHMxq va da,nut san,",,,,12,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,K-01-01-3,VNDAN,VNTTS,VNTTS,9/2/2024 6:16,,Empty,EMPTY,2.3,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
VLC,BISU2838026,20DC,22G0,"DA VS,BISUMop xung quanh+da,Cong thanh,Cong tay,Rach ron, Ho nep san,Cu ri set,troc van san",,,,12,STORAGE/0000/0000,STORAGE,CN,CX,Storage Empty,Stacking,E,Luu rong,A-39-05-5,VNCMT,VNTTS,VNTTS,9/2/2024 6:17,,Empty,EMPTY,2.3,A,TRUE,FALSE,,,,,,,,,,Hold,,Hang noi,,,,,
